Symbol,Item Name ,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-01-28
A023770,상장주식수 (보통+우선)(주),"2,875,832","2,875,832","3,075,469","3,075,469","3,589,546","4,263,337","4,263,337"
A047920,매출액(원),"17,164,363,590","17,713,121,040","20,346,369,910","15,557,534,920","20,540,681,650",,
A047920,영업이익(원),"433,445,940","-916,074,490","576,588,100","-3,810,149,240","-5,826,274,210",,
A047920,지배주주순이익(원),"304,575,010","-2,364,844,170","577,412,480","-5,446,970,340","-7,059,643,300",,
A047920,총자본(원),"4,814,100,860","12,176,958,020","18,898,522,560","16,801,593,730","16,998,461,590",,
A047920,총부채(원),"16,620,350,810","12,670,389,550","22,339,309,600","23,044,782,010","19,424,769,890",,
A047920,자본금(원),"2,887,272,500","3,611,672,500","5,920,008,500","6,246,585,500","6,924,186,500",,
A047920,이익잉여금(원),"453,038,120","-1,940,225,480","177,069,790","-5,409,588,360","-8,452,838,130",,
A047920,영업활동으로인한현금흐름(원),"1,542,479,140","-769,585,310","-213,111,050","-784,295,490","-1,777,386,920",,
A047920,투자활동으로인한현금흐름(원),"-3,753,934,640","-623,107,750","-15,353,037,390","1,171,564,840","309,086,840",,
A047920,"수정DPS(보통주,현금)(원)",,,,,,,
A047920,수정주가(원),"3,299","7,044","5,190","6,420","4,225","5,430","5,290"
A047920,상장주식수 (보통+우선)(주),"5,774,545","7,023,345","11,840,017","12,493,171","13,848,373","13,848,373","13,848,373"
A255220,매출액(원),"34,005,092,000","29,583,336,700","42,699,569,750","96,872,890,550","118,477,483,300",,
A255220,영업이익(원),"4,414,689,930","7,065,357,820","11,464,092,000","16,592,443,040","15,123,784,230",,
A255220,지배주주순이익(원),"2,691,823,520","8,224,591,560","9,004,249,360","12,033,536,380","10,299,016,160",,
A255220,총자본(원),"11,224,511,880","16,378,217,270","24,812,742,440","36,967,058,250","60,463,930,080",,
A255220,총부채(원),"40,418,998,920","49,971,681,850","58,375,494,120","85,869,019,800","139,716,828,470",,
A255220,자본금(원),"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,250,602,400",,
A255220,이익잉여금(원),"8,865,648,070","14,289,185,930","22,716,190,200","34,608,876,910","43,930,535,810",,
A255220,영업활동으로인한현금흐름(원),"6,722,148,000","16,569,320,290","1,450,653,690","10,631,778,460","-24,586,358,870",,
A255220,투자활동으로인한현금흐름(원),"-21,243,300,480","1,291,571,080","-20,010,686,120","-15,246,821,910","-20,786,182,530",,
A255220,"수정DPS(보통주,현금)(원)",,,,17.36,20.83,,
A255220,수정주가(원),,,,,"3,924","2,235","1,995"
A255220,상장주식수 (보통+우선)(주),,,,,"12,506,024","36,720,027","36,720,027"
A027040,매출액(원),"23,263,640,080","22,024,579,450","63,472,126,010","62,957,787,230","59,903,532,030",,
A027040,영업이익(원),"-696,422,310","-1,085,956,320","2,723,868,790","763,813,050","-1,690,910,770",,
A027040,지배주주순이익(원),"-20,699,963,350","-5,092,306,480","8,424,359,310","-1,583,892,930","-4,179,248,130",,
A027040,총자본(원),"30,421,611,420","27,112,746,110","37,409,286,460","37,539,622,750","34,086,165,960",,
A027040,총부채(원),"33,371,396,530","34,675,385,360","39,584,160,130","37,751,997,730","46,830,310,180",,
A027040,자본금(원),"30,270,819,000","30,270,819,000","30,270,819,000","32,382,143,000","32,382,143,000",,
A027040,이익잉여금(원),"-32,582,884,900","-37,610,482,250","-29,344,285,990","-30,972,624,630","-34,314,165,070",,
A027040,영업활동으로인한현금흐름(원),"-13,403,064,880","-1,570,240,190","-10,452,735,030","-3,473,917,560","2,049,944,340",,
A027040,투자활동으로인한현금흐름(원),"-3,848,061,630","1,772,333,610","-2,955,922,830","-4,407,060,800","-2,927,460,090",,
A027040,"수정DPS(보통주,현금)(원)",,,,,,,
A027040,수정주가(원),470,987,"1,260","1,190","1,165","1,010","1,050"
A027040,상장주식수 (보통+우선)(주),"60,541,638","60,541,638","60,541,638","64,764,286","64,764,286","69,588,847","69,588,847"
A019180,매출액(원),"179,696,159,070","240,960,632,900","258,025,319,800","263,401,715,430","331,053,733,430",,
A019180,영업이익(원),"650,855,030","6,036,655,070","10,453,017,290","9,686,392,210","11,217,101,180",,
A019180,지배주주순이익(원),"-5,878,900,600","-761,287,440","14,942,252,570","3,166,236,930","5,035,822,890",,
A019180,총자본(원),"9,223,444,000","21,922,618,390","36,127,402,460","38,091,390,140","40,257,217,620",,
A019180,총부채(원),"199,408,217,060","175,765,595,750","164,433,495,710","168,978,201,410","172,137,328,790",,
A019180,자본금(원),"9,000,000,000","9,000,000,000","9,000,000,000","9,000,000,000","9,000,000,000",,
A019180,이익잉여금(원),"-9,028,505,910","-9,414,010,900","3,180,519,540","4,357,530,590","7,780,361,460",,
A019180,영업활동으로인한현금흐름(원),"3,079,704,430","4,560,653,110","-1,918,422,620","14,087,154,640","15,196,812,190",,
A019180,투자활동으로인한현금흐름(원),"-8,484,667,270","48,269,525,390","-18,571,038,140","-9,753,779,450","-20,964,941,080",,
A019180,"수정DPS(보통주,현금)(원)",20.00,60.00,55.00,50.00,50.00,,
